scaleSize MaxNbNodesPoss MaxNbNodes
2 58 1.07374e+09
12 1.34235e+08 1.07374e+09
22 1.34431e+08 1.07374e+09
32 1.35202e+08 1.07374e+09
42 1.37183e+08 1.07374e+09
52 1.41251e+08 1.07374e+09
62 1.48521e+08 1.07374e+09
72 1.6035e+08 1.07374e+09
82 1.78334e+08 1.07374e+09
92 2.04308e+08 1.07374e+09
102 2.40349e+08 1.07374e+09
112 2.68448e+08 1.07374e+09
122 2.6845e+08 1.07374e+09
132 2.68453e+08 1.07374e+09
142 2.68456e+08 1.07374e+09
152 2.68459e+08 1.07374e+09
162 2.68462e+08 1.07374e+09
172 2.68465e+08 1.07374e+09
182 2.68469e+08 1.07374e+09
192 2.68472e+08 1.07374e+09
202 2.68476e+08 1.07374e+09
212 2.6848e+08 1.07374e+09
222 2.68485e+08 1.07374e+09
232 2.68489e+08 1.07374e+09
242 2.68494e+08 1.07374e+09
252 2.68499e+08 1.07374e+09
262 2.68504e+08 1.07374e+09
272 2.68509e+08 1.07374e+09
282 2.68515e+08 1.07374e+09
292 2.68521e+08 1.07374e+09
